sample_id,dataset,hypoxia_stroma_proxy,mycn_expression_z,selected_gene_count,clinical_survival_required,notes
TARGET-30-PALIIN-01A,TARGET-NBL,-0.301230,-0.020387,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PAPUNH-01A,TARGET-NBL,-1.000489,2.533670,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PAPCTS-01A,TARGET-NBL,-0.332219,2.247563,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PAIPGU-01A,TARGET-NBL,0.085685,-0.305400,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PASGAP-01A,TARGET-NBL,0.237212,-1.005197,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PASGAP-02A,TARGET-NBL,1.004347,-0.861209,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PANYGR-01A,TARGET-NBL,-0.229481,-0.304511,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PASJZC-01A,TARGET-NBL,-0.011443,-0.346949,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PARHAM-01A,TARGET-NBL,0.019014,-0.316351,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PASZKE-01A,TARGET-NBL,-0.098086,-0.609572,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PARVLK-01A,TARGET-NBL,0.574383,-0.878686,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PARDCK-01A,TARGET-NBL,-0.054951,-1.003951,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PAKZRH-01A,TARGET-NBL,-0.150934,-0.383040,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PAPKWN-01A,TARGET-NBL,0.888788,0.289488,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PARJVP-01A,TARGET-NBL,-0.400223,0.105102,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PAPTLV-01A,TARGET-NBL,0.945134,1.269209,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PASWFB-01A,TARGET-NBL,-0.169766,1.915479,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PATEPF-01A,TARGET-NBL,-0.415692,-0.037960,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PARSBI-01A,TARGET-NBL,0.292207,-0.761795,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PANZVU-01A,TARGET-NBL,-0.183751,-0.361800,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PAPICY-01A,TARGET-NBL,-0.180165,0.075926,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PALWVJ-01A,TARGET-NBL,1.015834,-0.888232,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PAMVRA-01A,TARGET-NBL,-0.500587,0.122344,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PANWRR-01A,TARGET-NBL,-0.250066,-0.074189,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PAPZYP-01A,TARGET-NBL,0.712293,1.355630,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PATNKP-02A,TARGET-NBL,-0.645441,-0.408394,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PAPKXS-01A,TARGET-NBL,-0.676857,0.529512,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PAMBMJ-01A,TARGET-NBL,0.504770,0.245705,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PAMMXF-01A,TARGET-NBL,-0.401901,1.974705,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PARDIW-01A,TARGET-NBL,-0.865701,-0.478740,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PAPVXS-01A,TARGET-NBL,0.320024,-0.194590,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PAMZGT-01A,TARGET-NBL,0.886747,1.213338,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PANZPV-01A,TARGET-NBL,0.000213,-0.600240,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PAKYZS-01A,TARGET-NBL,0.169288,-0.825663,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PATHKB-01A,TARGET-NBL,-0.607994,0.305402,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PARZHA-01A,TARGET-NBL,-0.729279,0.200460,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PASWIJ-01A,TARGET-NBL,-0.018700,0.091590,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PASHFA-01A,TARGET-NBL,0.255821,1.723812,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PASUYG-01A,TARGET-NBL,-0.357962,-0.888618,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PAMYCE-01A,TARGET-NBL,-0.079549,-0.391192,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PAISNS-01A,TARGET-NBL,0.236471,-0.113576,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PASTCN-01A,TARGET-NBL,-0.012796,-0.225962,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PARNNC-01A,TARGET-NBL,0.395577,-0.205902,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PASCTR-01A,TARGET-NBL,0.425935,-0.158552,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PASXIE-01A,TARGET-NBL,-1.310633,2.060429,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PASNEF-01A,TARGET-NBL,-0.545536,-0.195422,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PAPBJE-01A,TARGET-NBL,1.792331,1.884599,15,true,expression_proxy_only_no_pfs_os_labels
